STATE,COUNTY,STNAME,CTYNAME,DATE,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM,fips,DATE_WINDOW
6,3,California,Alpine County,2018-07-01,1081,571,510,43,20,23,91,49,42,61,39,22,85,41,44,912,481,431,886,463,423,318,177,141,190,105,85,348,191,157,263,126,137,43,20,23,40,22,18,69,35,34,68,38,30,60,34,26,54,34,20,53,30,23,36,22,14,47,19,28,61,34,27,70,29,41,114,68,46,103,60,43,108,54,54,72,33,39,32,16,16,25,13,12,26,10,16,50.8,49.7,51.4,06003,2019-07-01
6,3,California,Alpine County,2019-07-01,1113,592,521,46,18,28,99,57,42,59,31,28,96,47,49,941,508,433,909,486,423,356,198,158,211,122,89,319,168,151,283,149,134,46,18,28,43,20,23,66,39,27,75,43,32,70,33,37,62,42,20,56,29,27,44,25,19,49,26,23,61,27,34,60,24,36,89,62,27,109,55,54,114,67,47,83,43,40,36,16,20,25,13,12,25,10,15,48.8,49.1,48.6,06003,2020-04-01
6,3,California,Alpine County,2020-04-01,1110,583,527,51,19,32,100,50,50,60,33,27,95,51,44,935,502,433,899,481,418,347,192,155,204,117,87,313,158,155,287,155,132,51,19,32,48,22,26,64,37,27,73,41,32,70,34,36,64,40,24,55,31,24,42,23,19,43,23,20,64,27,37,59,28,31,80,50,30,110,53,57,113,69,44,87,44,43,44,20,24,24,13,11,19,9,10,48.8,49.2,48.5,06003,2020-07-01
6,3,California,Alpine County,2020-07-01,1119,585,534,50,18,32,101,48,53,61,35,26,94,50,44,946,505,441,907,484,423,355,196,159,212,123,89,314,156,158,287,155,132,50,18,32,50,23,27,63,37,26,74,41,33,69,32,37,64,40,24,59,34,25,46,26,20,43,23,20,63,26,37,65,32,33,79,48,31,107,50,57,114,70,44,88,44,44,46,21,25,22,12,10,17,8,9,48.5,48.6,48.4,06003,2021-07-01
6,3,California,Alpine County,2021-07-01,1235,677,558,53,24,29,92,43,49,71,39,32,106,67,39,1060,591,469,1019,571,448,423,247,176,263,151,112,343,183,160,307,170,137,53,24,29,42,19,23,67,34,33,93,57,36,67,39,28,85,45,40,63,44,19,64,33,31,51,29,22,69,33,36,76,39,37,83,48,35,115,63,52,118,72,46,101,52,49,49,25,24,18,10,8,21,11,10,47.6,47.6,47.6,06003,2022-07-01
6,3,California,Alpine County,2022-07-01,1190,659,531,45,23,22,91,41,50,56,27,29,125,81,44,1026,581,445,998,568,430,419,252,167,251,150,101,318,167,151,304,170,134,45,23,22,54,24,30,50,23,27,88,52,36,80,50,30,67,44,23,73,46,27,64,34,30,47,26,21,63,27,36,72,38,34,73,38,35,110,64,46,109,65,44,93,49,44,63,34,29,22,10,12,17,12,5,47.1,45.9,47.8,06003,2024-01-01
6,5,California,Amador County,2016-01-01,37443,19844,17599,1562,827,735,2897,1460,1437,1398,709,689,2225,1226,999,32320,17213,15107,31586,16848,14738,11254,6531,4723,7961,4772,3189,11566,6144,5422,9834,4706,5128,1562,827,735,1548,773,775,1679,863,816,1672,862,810,1621,897,724,1928,1123,805,1976,1144,832,2030,1239,791,2027,1266,761,2346,1396,950,2801,1556,1245,3114,1568,1546,3305,1624,1681,3543,1701,1842,2487,1233,1254,1665,830,835,1029,477,552,1110,465,645,50.7,48.3,53.4,06005,2017-07-01
6,5,California,Amador County,2017-07-01,38549,20764,17785,1589,836,753,2888,1475,1413,1395,707,688,2256,1276,980,33411,18106,15305,32677,17746,14931,11841,7058,4783,8508,5239,3269,11714,6364,5350,10199,4867,5332,1589,836,753,1550,809,741,1656,830,826,1689,883,806,1644,936,708,2045,1218,827,2088,1258,830,2201,1369,832,2174,1394,780,2457,1505,952,2802,1608,1194,3152,1605,1547,3303,1646,1657,3485,1674,1811,2819,1369,1450,1727,846,881,1091,524,567,1077,454,623,50.4,47.8,53.7,06005,2018-07-01
6,5,California,Amador County,2018-07-01,39349,21393,17956,1619,849,770,2942,1518,1424,1363,711,652,2239,1264,975,34113,18670,15443,33425,18315,15110,12234,7416,4818,8970,5622,3348,11702,6436,5266,10514,4993,5521,1619,849,770,1583,865,718,1697,834,863,1673,884,789,1591,910,681,2166,1288,878,2142,1322,820,2375,1482,893,2287,1530,757,2501,1553,948,2738,1580,1158,3150,1655,1495,3313,1648,1665,3483,1663,1820,2940,1428,1512,1842,895,947,1164,569,595,1085,438,647,50.1,47.5,54.0,06005,2019-07-01
6,5,California,Amador County,2019-07-01,39693,21565,18128,1596,840,756,2999,1567,1432,1414,729,685,2188,1232,956,34381,18797,15584,33684,18429,15255,12335,7447,4888,9113,5669,3444,11509,6385,5124,10874,5143,5731,1596,840,756,1669,912,757,1710,838,872,1657,893,764,1565,885,680,2152,1267,885,2225,1367,858,2358,1456,902,2378,1579,799,2450,1551,899,2601,1512,1089,3165,1654,1511,3293,1668,1625,3450,1655,1795,3132,1494,1638,1942,945,997,1225,586,639,1125,463,662,50.2,47.5,54.2,06005,2020-04-01
6,5,California,Amador County,2020-04-01,40045,21761,18284,1597,848,749,3056,1583,1473,1395,718,677,2174,1247,927,34696,18977,15719,33997,18612,15385,12498,7544,4954,9264,5754,3510,11382,6301,5081,11177,5310,5867,1597,848,749,1715,918,797,1676,840,836,1651,884,767,1583,906,677,2157,1280,877,2329,1415,914,2361,1445,916,2417,1614,803,2395,1509,886,2579,1521,1058,3083,1599,1484,3325,1672,1653,3500,1686,1814,3237,1537,1700,2060,1016,1044,1251,603,648,1129,468,661,50.3,47.5,54.3,06005,2020-07-01
6,5,California,Amador County,2020-07-01,40083,21781,18302,1591,848,743,3060,1584,1476,1389,713,676,2165,1247,918,34739,18997,15742,34043,18636,15407,12549,7576,4973,9316,5788,3528,11330,6267,5063,11232,5334,5898,1591,848,743,1720,917,803,1661,839,822,1644,876,768,1589,912,677,2152,1283,869,2366,1432,934,2362,1444,918,2436,1629,807,2374,1496,878,2578,1525,1053,3054,1579,1475,3324,1667,1657,3506,1688,1818,3266,1545,1721,2086,1031,1055,1249,602,647,1125,468,657,50.3,47.4,54.4,06005,2021-07-01
6,5,California,Amador County,2021-07-01,41144,22426,18718,1610,839,771,3144,1644,1500,1511,769,742,2269,1280,989,35660,19581,16079,34879,19174,15705,13169,7909,5260,9761,6039,3722,11500,6429,5071,11349,5426,5923,1610,839,771,1757,923,834,1759,900,859,1777,950,827,1631,920,711,2107,1259,848,2497,1497,1000,2523,1546,977,2634,1737,897,2404,1540,864,2625,1533,1092,3022,1607,1415,3449,1749,1700,3541,1752,1789,3326,1585,1741,2156,1053,1103,1239,593,646,1087,443,644,49.7,47.1,53.6,06005,2022-07-01
6,5,California,Amador County,2022-07-01,41412,22574,18838,1677,861,816,3155,1671,1484,1512,741,771,2253,1274,979,35830,19680,16150,35068,19301,15767,13234,7917,5317,9860,6092,3768,11390,6393,4997,11565,5542,6023,1677,861,816,1755,926,829,1791,935,856,1763,925,838,1611,900,711,2058,1233,825,2542,1539,1003,2558,1582,976,2702,1738,964,2437,1583,854,2603,1522,1081,2890,1548,1342,3460,1740,1720,3534,1766,1768,3251,1561,1690,2391,1160,1231,1280,609,671,1109,446,663,49.6,47.0,53.5,06005,2024-01-01
6,7,California,Butte County,2016-01-01,226222,111795,114427,12378,6397,5981,22825,11592,11233,10259,5392,4867,32955,16596,16359,185942,91145,94797,180760,88414,92346,93834,48154,45680,53093,27470,25623,54425,26314,28111,40287,18034,22253,12378,6397,5981,12619,6484,6135,12679,6412,6267,15604,7875,7729,25137,12809,12328,15706,8360,7346,13558,6927,6631,12570,6465,6105,11259,5718,5541,11848,5885,5963,13004,6255,6749,14580,7035,7545,14993,7139,7854,13906,6655,7251,9323,4345,4978,6628,3001,3627,4726,2050,2676,5704,1983,3721,37.0,35.5,38.9,06007,2017-07-01
6,7,California,Butte County,2017-07-01,228700,112893,115807,12521,6421,6100,22973,11717,11256,10274,5285,4989,32827,16492,16335,188180,92181,95999,182932,89470,93462,95045,48638,46407,54479,28135,26344,54151,26229,27922,41475,18614,22861,12521,6421,6100,12718,6538,6180,12790,6453,6337,15573,7888,7685,24993,12615,12378,16519,8778,7741,13402,6811,6591,13177,6787,6390,11381,5759,5622,11979,5983,5996,12634,6134,6500,14398,6901,7497,15140,7211,7929,13956,6611,7345,10361,4862,5499,6791,3131,3660,4754,2035,2719,5613,1975,3638,37.1,35.7,38.8,06007,2018-07-01
6,7,California,Butte County,2018-07-01,230330,113681,116649,12639,6492,6147,22994,11838,11156,10360,5260,5100,32724,16450,16274,189482,92756,96726,184337,90091,94246,95934,49009,46925,55504,28606,26898,53390,25829,27561,42719,19206,23513,12639,6492,6147,12722,6561,6161,12926,6584,6342,15618,7872,7746,24812,12531,12281,16823,8803,8020,13381,6866,6515,13639,7011,6628,11661,5926,5735,11918,5947,5971,12206,5932,6274,14259,6816,7443,15007,7134,7873,14280,6749,7531,10944,5160,5784,7073,3241,3832,4875,2105,2770,5547,1951,3596,37.3,35.8,38.8,06007,2019-07-01
6,7,California,Butte County,2019-07-01,218726,108163,110563,11897,6096,5801,22271,11459,10812,9983,5042,4941,31563,15838,15725,179503,88082,91421,174575,85566,89009,92666,47199,45467,53604,27584,26020,49448,24122,25326,39960,18022,21938,11897,6096,5801,12399,6424,5975,12356,6300,6056,15191,7572,7619,23871,12043,11828,15976,8321,7655,12863,6626,6237,13173,6778,6395,11592,5859,5733,11178,5596,5582,11356,5626,5730,13172,6292,6880,13742,6608,7134,13233,6211,7022,10554,5049,5505,6722,3062,3660,4458,1925,2533,4993,1775,3218,36.8,35.5,38.2,06007,2020-04-01
6,7,California,Butte County,2020-04-01,214384,106059,108325,11560,5925,5635,21882,11280,10602,9827,4913,4914,31143,15642,15501,176045,86392,89653,171115,83941,87174,91203,46486,44717,52681,27161,25520,47904,23350,24554,39387,17788,21599,11560,5925,5635,12164,6331,5833,12166,6179,5987,15000,7411,7589,23522,11914,11608,15299,7975,7324,12801,6640,6161,12967,6620,6347,11614,5926,5688,10828,5451,5377,11055,5463,5592,12610,5991,6619,13411,6445,6966,12769,5992,6777,10598,5084,5514,6753,3071,3682,4349,1894,2455,4918,1747,3171,36.8,35.5,38.1,06007,2020-07-01
6,7,California,Butte County,2020-07-01,212744,105259,107485,11440,5863,5577,21720,11202,10518,9778,4869,4909,30955,15555,15400,174732,85751,88981,169806,83325,86481,90669,46227,44442,52377,27023,25354,47392,23089,24303,39082,17658,21424,11440,5863,5577,12063,6288,5775,12098,6134,5964,14919,7348,7571,23373,11856,11517,15059,7857,7202,12778,6639,6139,12916,6577,6339,11624,5950,5674,10708,5399,5309,10978,5420,5558,12421,5891,6530,13285,6379,6906,12608,5918,6690,10576,5077,5499,6737,3062,3675,4301,1877,2424,4860,1724,3136,36.8,35.5,38.1,06007,2021-07-01
6,7,California,Butte County,2021-07-01,206190,102770,103420,10847,5572,5275,21181,10908,10273,9797,4977,4820,29414,14832,14582,169258,83764,85494,164365,81313,83052,88326,45335,42991,51588,26823,24765,45493,22526,22967,37870,17132,20738,10847,5572,5275,11622,5995,5627,12032,6210,5822,13007,6488,6519,23731,12024,11707,13999,7294,6705,13084,6849,6235,12590,6460,6130,11915,6220,5695,10317,5263,5054,10907,5517,5390,11584,5563,6021,12685,6183,6502,12164,5776,6388,10680,5094,5586,6545,2989,3556,4127,1803,2324,4354,1470,2884,36.9,35.8,38.1,06007,2022-07-01
6,7,California,Butte County,2022-07-01,207303,103224,104079,10718,5480,5238,21069,10866,10203,9732,4981,4751,31526,15759,15767,170632,84330,86302,165784,81897,83887,90472,46300,44172,51643,26821,24822,44208,21930,22278,38407,17387,21020,10718,5480,5238,11632,5997,5635,11866,6130,5736,14801,7347,7454,24028,12132,11896,13696,7129,6567,13475,7031,6444,12313,6304,6009,12159,6357,5802,10259,5226,5033,10753,5464,5289,11049,5328,5721,12147,5912,6235,12019,5724,6295,10544,4975,5569,7243,3323,3920,4282,1913,2369,4319,1452,2867,36.5,35.3,37.6,06007,2024-01-01
6,9,California,Calaveras County,2016-01-01,45307,22596,22711,1855,974,881,3807,1938,1869,2077,1117,960,2910,1556,1354,38651,19175,19476,37568,18567,19001,12697,6631,6066,8189,4194,3995,14417,6872,7545,12052,5945,6107,1855,974,881,2039,1025,1014,2247,1149,1098,2437,1331,1106,2071,1106,965,2011,1028,983,2142,1116,1026,2101,1067,1034,1935,983,952,2612,1246,1366,3228,1614,1614,4160,1978,2182,4417,2034,2383,4303,2162,2141,3167,1627,1540,2158,1079,1079,1279,621,658,1145,456,689,52.0,50.9,53.0,06009,2017-07-01
6,9,California,Calaveras County,2017-07-01,45658,22773,22885,1951,1037,914,3795,1926,1869,2040,1081,959,2856,1561,1295,38937,19296,19641,37872,18729,19143,12958,6726,6232,8535,4345,4190,14181,6769,7412,12300,6054,6246,1951,1037,914,2011,1041,970,2257,1146,1111,2359,1274,1085,2064,1107,957,2105,1065,1040,2273,1171,1102,2174,1102,1072,1983,1007,976,2550,1229,1321,3102,1533,1569,4075,1944,2131,4454,2063,2391,4158,2051,2107,3402,1736,1666,2232,1123,1109,1373,668,705,1135,476,659,51.9,50.8,53.0,06009,2018-07-01
6,9,California,Calaveras County,2018-07-01,45747,22757,22990,1996,1046,950,3790,1904,1886,1974,1062,912,2812,1503,1309,39008,19282,19726,37987,18745,19242,13007,6776,6231,8680,4460,4220,13818,6631,7187,12677,6151,6526,1996,1046,950,2019,1056,963,2230,1097,1133,2304,1255,1049,2023,1061,962,2123,1102,1021,2264,1156,1108,2288,1181,1107,2005,1021,984,2472,1181,1291,2970,1464,1506,3889,1842,2047,4487,2144,2343,4139,1992,2147,3555,1801,1754,2338,1159,1179,1484,725,759,1161,474,687,52.1,50.8,53.2,06009,2019-07-01
6,9,California,Calaveras County,2019-07-01,46119,22977,23142,2048,1075,973,3846,1935,1911,1936,1054,882,2734,1447,1287,39294,19471,19823,38289,18913,19376,13163,6892,6271,8945,4621,4324,13470,6496,6974,13140,6349,6791,2048,1075,973,2109,1080,1029,2189,1085,1104,2289,1255,1034,1929,1016,913,2186,1138,1048,2331,1173,1158,2341,1231,1110,2087,1079,1008,2384,1160,1224,2875,1384,1491,3790,1805,1985,4421,2147,2274,4245,1993,2252,3672,1853,1819,2465,1232,1233,1535,752,783,1223,519,704,52.1,50.8,53.3,06009,2020-04-01
6,9,California,Calaveras County,2020-04-01,46296,23072,23224,2037,1081,956,3869,1953,1916,1929,1045,884,2682,1401,1281,39455,19560,19895,38461,18993,19468,13254,6922,6332,9096,4704,4392,13313,6429,6884,13370,6459,6911,2037,1081,956,2141,1105,1036,2181,1076,1105,2244,1220,1024,1914,998,916,2199,1153,1046,2319,1162,1157,2389,1265,1124,2189,1124,1065,2263,1132,1131,2886,1396,1490,3713,1778,1935,4451,2123,2328,4260,2016,2244,3776,1893,1883,2530,1265,1265,1536,742,794,1268,543,725,52.2,50.8,53.6,06009,2020-07-01
6,9,California,Calaveras County,2020-07-01,46308,23088,23220,2027,1081,946,3868,1952,1916,1927,1044,883,2663,1390,1273,39474,19580,19894,38486,19011,19475,13285,6938,6347,9149,4731,4418,13272,6413,6859,13402,6477,6925,2027,1081,946,2144,1107,1037,2178,1072,1106,2227,1211,1016,1909,996,913,2200,1158,1042,2317,1159,1158,2410,1276,1134,2222,1138,1084,2226,1123,1103,2898,1405,1493,3688,1769,1919,4460,2116,2344,4260,2021,2239,3800,1902,1898,2535,1270,1265,1534,738,796,1273,546,727,52.3,50.8,53.6,06009,2021-07-01
6,9,California,Calaveras County,2021-07-01,46219,23199,23020,2070,1107,963,3908,2008,1900,1929,979,950,2715,1443,1272,39258,19608,19650,38312,19105,19207,13636,7095,6541,9489,4903,4586,12878,6377,6501,13230,6382,6848,2070,1107,963,2152,1120,1032,2253,1118,1135,2214,1173,1041,1933,1019,914,2135,1109,1026,2393,1183,1210,2534,1329,1205,2427,1282,1145,2175,1147,1028,2856,1402,1454,3476,1708,1768,4371,2120,2251,4216,1997,2219,3782,1895,1887,2503,1248,1255,1488,718,770,1241,524,717,51.4,50.0,52.8,06009,2022-07-01
6,9,California,Calaveras County,2022-07-01,46563,23334,23229,2055,1077,978,4051,2086,1965,1949,964,985,2665,1394,1271,39472,19694,19778,38508,19207,19301,13923,7167,6756,9766,5035,4731,12598,6299,6299,13479,6479,7000,2055,1077,978,2238,1166,1072,2270,1146,1124,2253,1158,1095,1904,974,930,2128,1114,1014,2450,1189,1261,2639,1387,1252,2549,1345,1204,2236,1218,1018,2784,1366,1418,3305,1630,1675,4273,2085,2188,4313,2041,2272,3635,1802,1833,2732,1358,1374,1487,719,768,1312,559,753,51.1,49.6,52.4,06009,2024-01-01
6,11,California,Colusa County,2016-01-01,21476,10959,10517,1557,761,796,3067,1619,1448,1333,709,624,2038,1062,976,16213,8240,7973,15519,7870,7649,8380,4342,4038,5320,2738,2582,5163,2651,2512,2998,1419,1579,1557,761,796,1719,901,818,1659,885,774,1581,841,740,1479,763,716,1373,751,622,1434,726,708,1341,675,666,1172,586,586,1300,660,640,1252,647,605,1394,716,678,1217,628,589,1016,508,508,726,357,369,515,256,259,322,139,183,419,159,260,34.8,34.1,35.6,06011,2017-07-01
6,11,California,Colusa County,2017-07-01,21558,10992,10566,1605,803,802,3052,1593,1459,1352,719,633,2007,1030,977,16250,8254,7996,15549,7877,7672,8437,4368,4069,5412,2791,2621,5086,2615,2471,3044,1441,1603,1605,803,802,1673,866,807,1713,899,814,1607,865,742,1418,712,706,1426,762,664,1416,724,692,1370,712,658,1200,593,607,1276,650,626,1236,638,598,1302,655,647,1272,672,600,1000,498,502,767,375,392,554,273,281,318,142,176,405,153,252,34.7,34.0,35.4,06011,2018-07-01
6,11,California,Colusa County,2018-07-01,21389,10918,10471,1503,772,731,3037,1566,1471,1335,732,603,1975,1028,947,16186,8218,7968,15514,7848,7666,8418,4352,4066,5427,2776,2651,4992,2555,2437,3120,1489,1631,1503,772,731,1618,836,782,1738,914,824,1596,854,742,1395,722,673,1458,753,705,1394,722,672,1375,702,673,1200,599,601,1232,620,612,1251,639,612,1265,651,614,1244,645,599,1028,505,523,766,382,384,594,290,304,342,164,178,390,148,242,35.0,34.2,35.8,06011,2019-07-01
