county_fips,county_name,state,month_date,period,year,month,quarter,county_all_drugs_death_count,county_all_drugs_monthly_rate,county_fentanyl_death_count,county_fentanyl_monthly_rate,county_pct_fentanyl,county_population,lagged_neighbor_all_drugs_deaths,neighbor_all_drugs_deaths_diff,lagged_neighbor_fentanyl_deaths,neighbor_fentanyl_deaths_diff,lagged_neighbor_all_drugs_monthly_rate,neighbor_all_drugs_rate_diff,lagged_neighbor_fentanyl_monthly_rate,neighbor_fentanyl_rate_diff,lagged_neighbor_pct_fentanyl,neighbor_pct_fentanyl_diff
06059,ORANGE,CA,2019-07-01,201907,2019,7,3,33,1.0359837984691298,10.0,0.3139344843845848,0.303030303030303,3185378.0,207.0,20.0,59.0,17.0,1.144823426472001,0.11061095907942042,0.32630232928429015,0.09401931521750734,0.27314045773348095,0.05572177751036933
06059,ORANGE,CA,2019-08-01,201908,2019,8,3,43,1.3499182828537146,13.0,0.4081148296999602,0.3023255813953488,3185378.0,227.0,-4.0,76.0,-2.0,1.2554343855514214,-0.02212219181588404,0.4203216445017975,-0.011061095907942076,0.3288622352438503,0.0011709505968576783
06059,ORANGE,CA,2019-09-01,201909,2019,9,3,39,1.224344489099881,12.0,0.3767213812615018,0.3076923076923077,3185378.0,223.0,-19.0,74.0,-6.0,1.2333121937355374,-0.1050804111254493,0.4092605485938554,-0.033183287723826116,0.33003318584070795,-0.004471756607801691
06059,ORANGE,CA,2019-10-01,201910,2019,10,4,42,1.3185248344152565,18.0,0.5650820718922527,0.4285714285714285,3185378.0,204.0,5.0,68.0,8.0,1.128231782610088,0.02765273976985494,0.3760772608700293,0.04424438363176819,0.32556142923290626,0.03964015736700288
06059,ORANGE,CA,2019-11-01,201911,2019,11,4,40,1.2557379375383393,18.0,0.5650820718922527,0.45,3185378.0,209.0,24.0,76.0,8.0,1.155884522379943,0.13273315089530446,0.4203216445017975,0.04424438363176808,0.36520158659990914,-0.00536151396913892
06059,ORANGE,CA,2019-12-01,201912,2019,12,4,33,1.0359837984691298,15.0,0.4709017265768772,0.4545454545454545,3185378.0,233.0,-22.0,84.0,-8.0,1.2886176732752475,-0.12167205498736244,0.46456602813356557,-0.04424438363176808,0.3598400726307702,-0.0026028484728143897
06059,ORANGE,CA,2020-01-01,202001,2020,1,1,44,1.3806134881544931,21.0,0.6589291648010082,0.4772727272727273,3186989.0,211.0,55.0,76.0,40.0,1.166945618287885,0.31805238478058984,0.4203216445017975,0.2272714696182892,0.35723722415795583,0.07131602104593887
06059,ORANGE,CA,2020-02-01,202002,2020,2,1,41,1.2864807503257776,19.0,0.5961740062485311,0.4634146341463415,3186989.0,266.0,-9.0,116.0,-3.0,1.4849980030684748,-0.05024429333690317,0.6475931141200867,-0.016748097778967685,0.4285532452038947,-0.0009146047745566266
06059,ORANGE,CA,2020-03-01,202003,2020,3,1,46,1.4433686467069702,21.0,0.6589291648010082,0.4565217391304347,3186989.0,257.0,44.0,113.0,20.0,1.4347537097315717,0.24563876742486035,0.630845016341119,0.11165398519311842,0.4276386404293381,0.0029292359147479186
06059,ORANGE,CA,2020-04-01,202004,2020,4,2,58,1.819899598021832,34.0,1.0668376953921084,0.5862068965517241,3186989.0,301.0,-12.0,133.0,8.0,1.680392477156432,-0.06699239111587096,0.7424990015342374,0.044661594077247346,0.430567876344086,0.049388127796700765
06059,ORANGE,CA,2020-05-01,202005,2020,5,2,68,2.1336753907842168,40.0,1.2551031710495393,0.5882352941176471,3186989.0,289.0,34.0,141.0,15.0,1.613400086040561,0.18981177482830103,0.7871605956114848,0.08374048889483887,0.47995600414078676,-0.0047605947847521035
06059,ORANGE,CA,2020-06-01,202006,2020,6,2,56,1.7571444394693547,33.0,1.03546011611587,0.5892857142857143,3186989.0,323.0,-3.0,156.0,1.0,1.803211860868862,-0.016748097778967574,0.8709010845063236,0.005582699259655821,0.47519540935603466,0.0069366966243122885
06059,ORANGE,CA,2020-07-01,202007,2020,7,3,75,2.353318445717886,51.0,1.6002565430881623,0.68,3186989.0,320.0,84.0,157.0,39.0,1.7864637630898945,0.4689467378110972,0.8764837837659795,0.21772527112658102,0.48213210598034695,-0.01343748084923424
06059,ORANGE,CA,2020-08-01,202008,2020,8,3,68,2.1336753907842168,46.0,1.4433686467069702,0.6764705882352942,3186989.0,404.0,77.0,196.0,36.0,2.2554105009009917,0.4298678429935059,1.0942090548925605,0.2009771733476129,0.4686946251311127,-0.00035179327148526784
06059,ORANGE,CA,2020-09-01,202009,2020,9,3,63,1.9767874944030244,43.0,1.3492359088782546,0.6825396825396826,3186989.0,481.0,-117.0,232.0,-56.0,2.6852783438944976,-0.6531758133797427,1.2951862282401734,-0.3126311585407314,0.46834283185962744,0.0038737294526784982
06059,ORANGE,CA,2020-10-01,202010,2020,10,4,62,1.9454099151267856,41.0,1.2864807503257776,0.6612903225806451,3186989.0,364.0,6.0,176.0,20.0,2.032102530514755,0.03349619555793559,0.982555069699442,0.11165398519311853,0.47221656131230594,0.05762465821320406
06059,ORANGE,CA,2020-11-01,202011,2020,11,4,53,1.6630117016406396,35.0,1.098215274668347,0.660377358490566,3186989.0,370.0,-20.0,196.0,-9.0,2.0655987260726905,-0.1116539851931182,1.0942090548925605,-0.05024429333690339,0.52984121952551,0.000656827547122707
06059,ORANGE,CA,2020-12-01,202012,2020,12,4,59,1.8512771772980705,39.0,1.2237255917733008,0.6610169491525424,3186989.0,350.0,15.0,187.0,9.0,1.9539447408795723,0.08374048889483854,1.043964761555657,0.05024429333690339,0.5304980470726327,0.0013641904884832412
06059,ORANGE,CA,2021-01-01,202101,2021,1,1,86,2.7148324238118584,59.0,1.8625013140104607,0.686046511627907,3167783.0,365.0,64.0,196.0,54.0,2.037685229774411,0.3693361357102942,1.0942090548925605,0.3084840485367548,0.531862237561116,0.04069020999133155
06059,ORANGE,CA,2021-02-01,202102,2021,2,1,69,2.178179502825793,47.0,1.483687487432062,0.6811594202898551,3167783.0,429.0,-107.0,250.0,-61.0,2.407021365484705,-0.6003526482677468,1.4026931034293153,-0.342257117236753,0.5725524475524475,0.004402213865260074
06059,ORANGE,CA,2021-03-01,202103,2021,3,1,80,2.525425510522658,55.0,1.736230038484328,0.6875,3167783.0,322.0,79.0,189.0,46.0,1.8066687172169582,0.4432510206836635,1.0604359861925623,0.25809553103099403,0.5769546614177076,-0.002671105547519703
06059,ORANGE,CA,2021-04-01,202104,2021,4,2,71,2.24131514058886,49.0,1.5468231251951283,0.6901408450704225,3167783.0,401.0,14.0,235.0,18.0,2.2499197379006217,0.07855081379204165,1.3185315172235563,0.10099390344691073,0.5742835558701879,0.027728388782363056
06059,ORANGE,CA,2021-05-01,202105,2021,5,2,89,2.809535880456458,61.0,1.925636951773528,0.6853932584269663,3167783.0,415.0,29.0,253.0,22.0,2.3284705516926634,0.16271239999780063,1.419525420670467,0.1234369931017798,0.6020119446525509,0.00543255341694715
06059,ORANGE,CA,2021-06-01,202106,2021,6,2,86,2.7148324238118584,59.0,1.8625013140104607,0.686046511627907,3167783.0,444.0,-14.0,275.0,-10.0,2.491182951690464,-0.07855081379204165,1.5429624137722469,-0.05610772413717258,0.6074444980694981,0.0005091864759467768
06059,ORANGE,CA,2021-07-01,202107,2021,7,3,86,2.7148324238118584,61.0,1.925636951773528,0.7093023255813954,3167783.0,430.0,8.0,265.0,4.0,2.4126321378984223,0.04488617930973815,1.4868546896350743,0.022443089654868853,0.6079536845454449,-0.00878845663053629
06059,ORANGE,CA,2021-08-01,202108,2021,8,3,75,2.367586416114993,53.0,1.6730944007212614,0.7066666666666667,3167783.0,438.0,6.0,269.0,6.0,2.4575183172081605,0.0336646344823035,1.5092977792899431,0.033664634482303724,0.5991652279149086,0.0019295106798300488
06059,ORANGE,CA,2021-09-01,202109,2021,9,3,83,2.6201289671672585,58.0,1.830933495128928,0.6987951807228916,3167783.0,444.0,-46.0,275.0,-34.0,2.491182951690464,-0.25809553103099425,1.5429624137722469,-0.1907662620663868,0.6010947385947386,-0.0007697947214075906
06059,ORANGE,CA,2021-10-01,202110,2021,10,4,80,2.525425510522658,62.0,1.9572047706550608,0.775,3167783.0,398.0,8.0,241.0,8.0,2.2330874206594697,0.04488617930973815,1.35219615170586,0.04488617930973793,0.600324943873331,0.004686920055730126
