SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,DATE,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
050,06,031,California,Kings County,1,4/1/2020,152488,84370,68118,11193,5725,5468,21311,10852,10459,8673,4432,4241,16518,9480,7038,115468,65483,49985,111311,63361,47950,70098,40999,29099,47196,28241,18955,31608,18082,13526,15989,7558,8431,11193,5725,5468,11594,5909,5685,12006,6097,5909,10678,5577,5101,12224,7181,5043,12998,7683,5315,12419,7390,5029,11691,7031,4660,10088,6137,3951,8922,5455,3467,8118,4812,3306,7862,4240,3622,6706,3575,3131,5298,2761,2537,4124,1949,2175,2793,1302,1491,1956,859,1097,1818,687,1131,32.2,32.7,31.5
050,06,031,California,Kings County,2,7/1/2020,152790,84568,68222,11180,5709,5471,21230,10805,10425,8752,4475,4277,16531,9490,7041,115822,65722,50100,111628,63579,48049,70340,41149,29191,47371,28359,19012,31646,18118,13528,16080,7612,8468,11180,5709,5471,11527,5877,5650,12017,6103,5914,10676,5571,5105,12293,7219,5074,12973,7680,5293,12480,7421,5059,11756,7078,4678,10162,6180,3982,8940,5475,3465,8103,4812,3291,7856,4236,3620,6747,3595,3152,5338,2785,2553,4160,1964,2196,2807,1307,1500,1953,856,1097,1822,700,1122,32.3,32.8,31.5
050,06,031,California,Kings County,3,7/1/2021,152679,84097,68582,11030,5537,5493,20981,10644,10337,9065,4651,4414,16493,9407,7086,115922,65486,50436,111603,63265,48338,70508,40998,29510,47387,28196,19191,31386,17926,13460,16337,7736,8601,11030,5537,5493,11396,5798,5598,12022,6102,5920,10592,5515,5077,12529,7287,5242,12709,7475,5234,12522,7376,5146,11890,7151,4739,10266,6194,4072,8969,5462,3507,8008,4781,3227,7640,4113,3527,6769,3570,3199,5431,2838,2593,4278,2014,2264,2858,1326,1532,1956,840,1116,1814,718,1096,32.3,32.9,31.6
050,06,031,California,Kings County,4,7/1/2022,152981,84475,68506,10940,5444,5496,20544,10444,10100,9320,4777,4543,16310,9295,7015,116645,66084,50561,112177,63810,48367,70952,41384,29568,47767,28560,19207,31411,18033,13378,16689,7922,8767,10940,5444,5496,11266,5792,5474,11723,5900,5823,10760,5619,5141,12425,7205,5220,12682,7519,5163,12668,7491,5177,11881,7189,4692,10536,6361,4175,9098,5583,3515,8008,4804,3204,7490,4082,3408,6815,3564,3251,5563,2911,2652,4278,2038,2240,3050,1396,1654,1996,853,1143,1802,724,1078,32.6,33.1,31.8
050,06,033,California,Lake County,1,4/1/2020,68158,34264,33894,4021,2045,1976,7446,3784,3662,3188,1665,1523,4571,2432,2139,55096,27590,27506,53503,26770,26733,22024,11488,10536,15089,7824,7265,18163,8902,9261,15680,7612,8068,4021,2045,1976,4072,2066,2006,4198,2151,2047,3730,1961,1769,3205,1703,1502,3636,1906,1730,3974,2043,1931,3903,2035,1868,3576,1840,1736,3545,1755,1790,4140,2062,2078,4909,2381,2528,5569,2704,2865,5194,2508,2686,4440,2297,2143,2855,1378,1477,1703,817,886,1488,612,876,44.6,43.2,46.2
050,06,033,California,Lake County,2,7/1/2020,68195,34283,33912,4019,2048,1971,7450,3778,3672,3202,1675,1527,4568,2421,2147,55106,27600,27506,53524,26782,26742,22049,11494,10555,15114,7839,7275,18075,8860,9215,15767,7662,8105,4019,2048,1971,4073,2060,2013,4212,2159,2053,3719,1957,1762,3216,1698,1518,3606,1892,1714,3984,2048,1936,3914,2043,1871,3610,1856,1754,3517,1742,1775,4116,2038,2078,4887,2375,2512,5555,2705,2850,5204,2517,2687,4469,2311,2158,2875,1388,1487,1716,824,892,1503,622,881,44.6,43.2,46.1
050,06,033,California,Lake County,3,7/1/2021,68584,34375,34209,3969,2020,1949,7576,3804,3772,3305,1739,1566,4611,2413,2198,55324,27652,27672,53734,26812,26922,22598,11720,10878,15547,8026,7521,17585,8608,8977,15991,7765,8226,3969,2020,1949,4184,2088,2096,4257,2174,2083,3748,1966,1782,3303,1728,1575,3507,1833,1674,4149,2114,2035,4096,2137,1959,3795,1942,1853,3424,1717,1707,4016,1937,2079,4737,2309,2428,5408,2645,2763,5130,2456,2674,4623,2394,2229,2988,1462,1526,1738,817,921,1512,636,876,44,42.9,45.3
050,06,033,California,Lake County,4,7/1/2022,68191,34193,33998,3835,1986,1849,7612,3828,3784,3406,1804,1602,4487,2332,2155,54986,27453,27533,53338,26575,26763,22570,11707,10863,15571,8039,7532,16950,8285,8665,16330,7919,8411,3835,1986,1849,4264,2125,2139,4242,2171,2071,3801,2013,1788,3198,1655,1543,3425,1789,1636,4131,2119,2012,4118,2110,2008,3897,2021,1876,3459,1749,1710,3855,1814,2041,4505,2250,2255,5131,2472,2659,5120,2469,2651,4490,2286,2204,3332,1635,1697,1820,863,957,1568,666,902,43.9,42.7,45.2
050,06,035,California,Lassen County,1,4/1/2020,32730,20891,11839,1516,792,724,2783,1390,1393,1237,651,586,3166,2369,797,27810,18377,9433,27194,18058,9136,15389,11339,4050,11293,8492,2801,7824,4780,3044,4911,2417,2494,1516,792,724,1537,761,776,1553,802,751,1564,902,662,2532,1945,587,3214,2502,712,3039,2293,746,2698,1987,711,2342,1710,632,2213,1532,681,1920,1232,688,1863,1066,797,1828,950,878,1706,867,839,1378,691,687,818,419,399,495,227,268,514,213,301,37.6,36.1,42
050,06,035,California,Lassen County,2,7/1/2020,32317,20487,11830,1511,786,725,2793,1393,1400,1228,645,583,3092,2301,791,27396,17977,9419,26785,17663,9122,15074,11032,4042,11060,8256,2804,7712,4689,3023,4921,2417,2504,1511,786,725,1549,767,782,1550,796,754,1544,888,656,2470,1888,582,3135,2421,714,2983,2233,750,2648,1940,708,2294,1662,632,2176,1500,676,1883,1201,682,1844,1047,797,1809,941,868,1694,854,840,1392,700,692,824,423,401,495,227,268,516,213,303,37.6,36.2,41.9
050,06,035,California,Lassen County,3,7/1/2021,31813,19940,11873,1484,778,706,2868,1437,1431,1203,623,580,2933,2171,762,26863,17410,9453,26258,17102,9156,14632,10566,4066,10794,7925,2869,7447,4520,2927,5084,2486,2598,1484,778,706,1617,819,798,1549,771,778,1487,850,637,2351,1791,560,3016,2276,740,2965,2196,769,2613,1895,718,2200,1558,642,2077,1443,634,1834,1144,690,1761,994,767,1775,939,836,1667,829,838,1473,745,728,884,446,438,522,239,283,538,227,311,37.7,36.3,41.8
