county,year,population,fips,state,pop_date
MARIPOSA,2021,17066.0,06043,CA,2021-07-01
MARIPOSA,2022,16984.0,06043,CA,2022-07-01
MARIPOSA,2023,16935.0,06043,CA,2023-07-01
MENDOCINO,2015,87131.0,06045,CA,2015-07-01
MENDOCINO,2016,87319.0,06045,CA,2016-07-01
MENDOCINO,2017,87690.0,06045,CA,2017-07-01
MENDOCINO,2018,87549.0,06045,CA,2018-07-01
MENDOCINO,2019,86932.0,06045,CA,2019-07-01
MENDOCINO,2020,86061.0,06045,CA,2020-07-01
MENDOCINO,2021,90535.0,06045,CA,2021-07-01
MENDOCINO,2022,89629.0,06045,CA,2022-07-01
MENDOCINO,2023,89164.0,06045,CA,2023-07-01
MERCED,2015,266133.0,06047,CA,2015-07-01
MERCED,2016,267370.0,06047,CA,2016-07-01
MERCED,2017,270837.0,06047,CA,2017-07-01
MERCED,2018,273733.0,06047,CA,2018-07-01
MERCED,2019,277114.0,06047,CA,2019-07-01
MERCED,2020,279252.0,06047,CA,2020-07-01
MERCED,2021,280730.0,06047,CA,2021-07-01
MERCED,2022,284130.0,06047,CA,2022-07-01
MERCED,2023,285337.0,06047,CA,2023-07-01
MODOC,2015,9064.0,06049,CA,2015-07-01
MODOC,2016,8957.0,06049,CA,2016-07-01
MODOC,2017,8864.0,06049,CA,2017-07-01
MODOC,2018,8816.0,06049,CA,2018-07-01
MODOC,2019,8866.0,06049,CA,2019-07-01
MODOC,2020,8763.0,06049,CA,2020-07-01
MODOC,2021,8606.0,06049,CA,2021-07-01
MODOC,2022,8573.0,06049,CA,2022-07-01
MODOC,2023,8527.0,06049,CA,2023-07-01
MONO,2015,14074.0,06051,CA,2015-07-01
MONO,2016,14256.0,06051,CA,2016-07-01
MONO,2017,14333.0,06051,CA,2017-07-01
MONO,2018,14400.0,06051,CA,2018-07-01
MONO,2019,14450.0,06051,CA,2019-07-01
MONO,2020,14534.0,06051,CA,2020-07-01
MONO,2021,13179.0,06051,CA,2021-07-01
MONO,2022,13160.0,06051,CA,2022-07-01
MONO,2023,13156.0,06051,CA,2023-07-01
MONTEREY,2015,430178.0,06053,CA,2015-07-01
MONTEREY,2016,433436.0,06053,CA,2016-07-01
MONTEREY,2017,433803.0,06053,CA,2017-07-01
MONTEREY,2018,433359.0,06053,CA,2018-07-01
MONTEREY,2019,433380.0,06053,CA,2019-07-01
MONTEREY,2020,430906.0,06053,CA,2020-07-01
MONTEREY,2021,435397.0,06053,CA,2021-07-01
MONTEREY,2022,433964.0,06053,CA,2022-07-01
MONTEREY,2023,430368.0,06053,CA,2023-07-01
NAPA,2015,140766.0,06055,CA,2015-07-01
NAPA,2016,140778.0,06055,CA,2016-07-01
NAPA,2017,139818.0,06055,CA,2017-07-01
NAPA,2018,138620.0,06055,CA,2018-07-01
NAPA,2019,137678.0,06055,CA,2019-07-01
NAPA,2020,135965.0,06055,CA,2020-07-01
NAPA,2021,137484.0,06055,CA,2021-07-01
NAPA,2022,135941.0,06055,CA,2022-07-01
NAPA,2023,134637.0,06055,CA,2023-07-01
NEVADA,2015,98716.0,06057,CA,2015-07-01
NEVADA,2016,98939.0,06057,CA,2016-07-01
NEVADA,2017,99421.0,06057,CA,2017-07-01
NEVADA,2018,99472.0,06057,CA,2018-07-01
NEVADA,2019,99648.0,06057,CA,2019-07-01
NEVADA,2020,99606.0,06057,CA,2020-07-01
NEVADA,2021,101717.0,06057,CA,2021-07-01
NEVADA,2022,100973.0,06057,CA,2022-07-01
NEVADA,2023,100720.0,06057,CA,2023-07-01
ORANGE,2015,3148952.0,06059,CA,2015-07-01
ORANGE,2016,3164277.0,06059,CA,2016-07-01
ORANGE,2017,3174159.0,06059,CA,2017-07-01
ORANGE,2018,3175579.0,06059,CA,2018-07-01
ORANGE,2019,3170851.0,06059,CA,2019-07-01
ORANGE,2020,3166857.0,06059,CA,2020-07-01
ORANGE,2021,3167783.0,06059,CA,2021-07-01
ORANGE,2022,3151946.0,06059,CA,2022-07-01
ORANGE,2023,3137164.0,06059,CA,2023-07-01
PLACER,2015,372870.0,06061,CA,2015-07-01
PLACER,2016,379046.0,06061,CA,2016-07-01
PLACER,2017,385348.0,06061,CA,2017-07-01
PLACER,2018,392735.0,06061,CA,2018-07-01
PLACER,2019,398918.0,06061,CA,2019-07-01
PLACER,2020,402950.0,06061,CA,2020-07-01
PLACER,2021,406688.0,06061,CA,2021-07-01
PLACER,2022,409441.0,06061,CA,2022-07-01
PLACER,2023,410305.0,06061,CA,2023-07-01
PLUMAS,2015,18435.0,06063,CA,2015-07-01
PLUMAS,2016,18691.0,06063,CA,2016-07-01
PLUMAS,2017,18680.0,06063,CA,2017-07-01
PLUMAS,2018,18830.0,06063,CA,2018-07-01
PLUMAS,2019,19052.0,06063,CA,2019-07-01
PLUMAS,2020,18967.0,06063,CA,2020-07-01
PLUMAS,2021,19622.0,06063,CA,2021-07-01
PLUMAS,2022,19232.0,06063,CA,2022-07-01
PLUMAS,2023,18996.0,06063,CA,2023-07-01
RIVERSIDE,2015,2344648.0,06065,CA,2015-07-01
RIVERSIDE,2016,2378282.0,06065,CA,2016-07-01
RIVERSIDE,2017,2413058.0,06065,CA,2017-07-01
RIVERSIDE,2018,2443221.0,06065,CA,2018-07-01
RIVERSIDE,2019,2465569.0,06065,CA,2019-07-01
RIVERSIDE,2020,2489188.0,06065,CA,2020-07-01
RIVERSIDE,2021,2418727.0,06065,CA,2021-07-01
RIVERSIDE,2022,2430976.0,06065,CA,2022-07-01
RIVERSIDE,2023,2439234.0,06065,CA,2023-07-01
