County,Sex,Age Group,7/1/2023,7/1/2024,7/1/2025
Fresno County,Male,95-99,540,561,544
Fresno County,Male,100+,22,19,37
Glenn County,Female,0,202,187,197
Glenn County,Female,1-4,734,730,746
Glenn County,Female,5-9,824,835,799
Glenn County,Female,10-14,962,889,871
Glenn County,Female,15-19,1036,1063,1029
Glenn County,Female,20-24,1161,1157,1151
Glenn County,Female,25-29,1252,1240,1213
Glenn County,Female,30-34,1004,1085,1182
Glenn County,Female,35-39,695,683,672
Glenn County,Female,40-44,641,628,647
Glenn County,Female,45-49,686,669,657
Glenn County,Female,50-54,681,716,722
Glenn County,Female,55-59,798,730,715
Glenn County,Female,60-64,785,828,819
Glenn County,Female,65-69,860,851,835
Glenn County,Female,70-74,777,779,820
Glenn County,Female,75-79,482,529,565
Glenn County,Female,80-84,343,341,355
Glenn County,Female,85-89,169,194,192
Glenn County,Female,90-94,103,88,98
Glenn County,Female,95-99,51,40,39
Glenn County,Female,100+,2,6,3
Glenn County,Male,0,206,236,231
Glenn County,Male,1-4,715,740,781
Glenn County,Male,5-9,915,880,886
Glenn County,Male,10-14,1070,1032,980
Glenn County,Male,15-19,1075,1117,1118
Glenn County,Male,20-24,1131,1058,1052
Glenn County,Male,25-29,1330,1284,1214
Glenn County,Male,30-34,1055,1171,1294
Glenn County,Male,35-39,682,703,687
Glenn County,Male,40-44,767,738,734
Glenn County,Male,45-49,654,674,681
Glenn County,Male,50-54,732,717,706
Glenn County,Male,55-59,746,759,735
Glenn County,Male,60-64,846,824,789
Glenn County,Male,65-69,828,829,823
Glenn County,Male,70-74,725,763,796
Glenn County,Male,75-79,519,513,549
Glenn County,Male,80-84,307,322,335
Glenn County,Male,85-89,152,145,146
Glenn County,Male,90-94,42,57,45
Glenn County,Male,95-99,11,6,12
Glenn County,Male,100+,4,4,2
Humboldt County,Female,0,602,569,534
Humboldt County,Female,1-4,2477,2382,2314
Humboldt County,Female,5-9,3413,3398,3360
Humboldt County,Female,10-14,3733,3726,3656
Humboldt County,Female,15-19,4259,4229,4184
Humboldt County,Female,20-24,5541,5552,5591
Humboldt County,Female,25-29,3880,3985,4114
Humboldt County,Female,30-34,4129,4029,4044
Humboldt County,Female,35-39,3938,3769,3576
Humboldt County,Female,40-44,4752,4801,4592
Humboldt County,Female,45-49,3870,3992,4196
Humboldt County,Female,50-54,3400,3453,3552
Humboldt County,Female,55-59,3400,3266,3124
Humboldt County,Female,60-64,4290,4107,3874
Humboldt County,Female,65-69,4453,4347,4412
Humboldt County,Female,70-74,4343,4400,4348
Humboldt County,Female,75-79,3002,3300,3554
Humboldt County,Female,80-84,1713,1821,1994
Humboldt County,Female,85-89,958,1017,1043
Humboldt County,Female,90-94,659,612,558
Humboldt County,Female,95-99,254,250,242
Humboldt County,Female,100+,91,61,62
Humboldt County,Male,0,601,610,629
Humboldt County,Male,1-4,2670,2571,2512
Humboldt County,Male,5-9,3599,3546,3423
Humboldt County,Male,10-14,3846,3751,3765
Humboldt County,Male,15-19,4273,4354,4412
Humboldt County,Male,20-24,5788,5731,5673
Humboldt County,Male,25-29,4219,4236,4355
Humboldt County,Male,30-34,4046,4165,4259
Humboldt County,Male,35-39,4397,4060,3754
Humboldt County,Male,40-44,5301,5311,5115
Humboldt County,Male,45-49,4393,4549,4609
Humboldt County,Male,50-54,3769,3869,4030
Humboldt County,Male,55-59,3315,3207,3287
Humboldt County,Male,60-64,3892,3818,3641
Humboldt County,Male,65-69,3867,3777,3729
Humboldt County,Male,70-74,3832,3732,3633
Humboldt County,Male,75-79,2724,2988,3197
Humboldt County,Male,80-84,1441,1520,1596
Humboldt County,Male,85-89,724,777,839
Humboldt County,Male,90-94,332,304,311
Humboldt County,Male,95-99,99,120,121
Humboldt County,Male,100+,19,14,16
Imperial County,Female,0,1234,1251,1324
Imperial County,Female,1-4,5183,5080,5121
Imperial County,Female,5-9,8666,8216,7630
Imperial County,Female,10-14,7694,7976,8312
Imperial County,Female,15-19,7284,7234,7185
Imperial County,Female,20-24,6144,6149,6295
Imperial County,Female,25-29,6992,6851,6698
Imperial County,Female,30-34,6219,6630,6911
Imperial County,Female,35-39,3540,3812,4089
Imperial County,Female,40-44,3604,3519,3421
Imperial County,Female,45-49,3745,3701,3748
Imperial County,Female,50-54,3970,3836,3731
Imperial County,Female,55-59,4400,4376,4283
Imperial County,Female,60-64,4405,4319,4253
Imperial County,Female,65-69,5160,5132,5003
Imperial County,Female,70-74,3793,4009,4313
Imperial County,Female,75-79,2887,2960,3142
Imperial County,Female,80-84,1943,2025,2132
Imperial County,Female,85-89,1359,1432,1411
Imperial County,Female,90-94,842,843,852
Imperial County,Female,95-99,461,418,413
Imperial County,Female,100+,86,102,105
Imperial County,Male,0,1238,1219,1362
